id,count
1759,16.58
1761,272.11
1764,249.03
1765,141.7
1766,89.02
1768,93.935
1770,30.82
1771,146.005
1774,93.475
1785,127.35
1788,186.59
1792,14.065
1794,239.505
1797,127.725
1798,14.67
1799,256.36
1802,99.21
1806,34.525
1808,70.505
1810,240.99
1818,124.82
1819,388.7
1820,283.325
1822,224.17
1826,227.245
1827,167.465
1835,18.45
1841,108.025
1842,102.25
1843,16.945
1846,45.215
1849,88.49
1850,196.895
1851,208.41
1857,54.745
1858,177.48
1860,96.255
1861,248.365
1864,119.33
1869,322.6
1871,67.27
1872,33.915
1875,18.24
1878,230.67
1879,243.77
1885,89.62
1888,108.605
1889,28.755
1890,96.845
1896,103.615
1897,151.5
1898,108.17
1900,99.415
1905,40.785
1908,122.505
1909,98.655
1913,64.52
1918,108.345
1922,326.535
1923,117.36
1925,261.625
1926,97.59
1927,299.315
1930,194.5
1935,73.04
1939,113.3
1942,92.955
1943,230.595
1948,247.175
1949,265.08
1951,99.45
1953,114.26
1959,121.34
1963,17.025
1967,131.535
1973,264.36
1975,24.955
1976,89.16
1990,109.97
1993,111.98
1997,189.97
1999,115.25
2001,315.355
2004,88.955
2010,97.99
2013,119.015
2017,308.71
2021,98.47
2023,160.45
2026,131.315
2037,33.675
2039,200.43
2041,16.55
2046,28.025
2050,15.65
2060,223.3
2067,100.775
2069,124.76
2072,254.885
2074,138.505
2079,103.985
2083,25.58
2085,200.215
2087,17.06
2093,131.57
2094,31.3
2097,39.64
2103,97.27
2104,54.075
2107,190.23
2108,16.835
2110,78.395
2115,152.765
2117,28.65
2125,312.505
2127,246.27
2133,14.93
2134,380.025
2135,115.835
2141,235.44
2143,36.095
2145,83.515
2146,28.66
2147,274.095
2148,59.745
2149,74.445
2165,117.8
2166,155.66
2177,209.26
